#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             9.20          9.40         49.46         53.13          0.00
             9.40          9.60         49.46         53.13          0.00
             9.60          9.80         49.46         53.13          0.00
             9.80         10.00         49.46         53.13          0.00
             2.00          2.20         53.13         57.14         21.97
             2.20          2.40         53.13         57.14        104.87
             2.40          2.60         53.13         57.14        341.77
             2.60          2.80         53.13         57.14        923.04
             2.80          3.00         53.13         57.14       2234.45
             3.00          3.20         53.13         57.14       5014.93
             3.20          3.40         53.13         57.14      10696.54
             3.40          3.60         53.13         57.14      21319.34
             3.60          3.80         53.13         57.14      41087.89
             3.80          4.00         53.13         57.14      72286.53
             4.00          4.20         53.13         57.14     124636.97
             4.20          4.40         53.13         57.14     195079.45
             4.40          4.60         53.13         57.14     285946.25
             4.60          4.80         53.13         57.14     395274.76
             4.80          5.00         53.13         57.14     517526.00
             5.00          5.20         53.13         57.14     675838.26
             5.20          5.40         53.13         57.14     805586.50
             5.40          5.60         53.13         57.14     836031.97
             5.60          5.80         53.13         57.14     852671.96
             5.80          6.00         53.13         57.14     851300.74
             6.00          6.20         53.13         57.14     788232.62
             6.20          6.40         53.13         57.14     566454.64
             6.40          6.60         53.13         57.14     439966.87
             6.60          6.80         53.13         57.14     269800.52
             6.80          7.00         53.13         57.14     104845.77
             7.00          7.20         53.13         57.14     107920.28
             7.20          7.40         53.13         57.14      38841.87
             7.40          7.60         53.13         57.14      15947.84
             7.60          7.80         53.13         57.14      10389.11
             7.80          8.00         53.13         57.14       3951.41
             8.00          8.20         53.13         57.14       1186.94
             8.20          8.40         53.13         57.14       7302.62
             8.40          8.60         53.13         57.14        927.74
             8.60          8.80         53.13         57.14        208.98
             8.80          9.00         53.13         57.14       9874.97
             9.00          9.20         53.13         57.14          0.00
             9.20          9.40         53.13         57.14          0.00
             9.40          9.60         53.13         57.14          0.00
             9.60          9.80         53.13         57.14          0.00
             9.80         10.00         53.13         57.14          0.00
             2.00          2.20         57.14         61.64         22.13
             2.20          2.40         57.14         61.64        103.54
             2.40          2.60         57.14         61.64        339.22
             2.60          2.80         57.14         61.64        919.84
             2.80          3.00         57.14         61.64       2212.50
             3.00          3.20         57.14         61.64       4988.08
             3.20          3.40         57.14         61.64      10663.23
             3.40          3.60         57.14         61.64      21317.15
             3.60          3.80         57.14         61.64      38808.18
             3.80          4.00         57.14         61.64      69411.37
             4.00          4.20         57.14         61.64     115916.40
             4.20          4.40         57.14         61.64     184952.00
             4.40          4.60         57.14         61.64     261280.87
             4.60          4.80         57.14         61.64     359871.72
             4.80          5.00         57.14         61.64     449345.41
             5.00          5.20         57.14         61.64     558655.61
             5.20          5.40         57.14         61.64     668573.61
             5.40          5.60         57.14         61.64     648992.92
             5.60          5.80         57.14         61.64     552094.71
             5.80          6.00         57.14         61.64     464797.94
             6.00          6.20         57.14         61.64     382316.01
             6.20          6.40         57.14         61.64     298206.00
             6.40          6.60         57.14         61.64     179665.53
             6.60          6.80         57.14         61.64     100424.59
             6.80          7.00         57.14         61.64      46577.87
             7.00          7.20         57.14         61.64      37463.26
             7.20          7.40         57.14         61.64      44617.56
             7.40          7.60         57.14         61.64       6939.92
             7.60          7.80         57.14         61.64       5154.81
             7.80          8.00         57.14         61.64       1688.09
             8.00          8.20         57.14         61.64       1688.50
             8.20          8.40         57.14         61.64        862.77
             8.40          8.60         57.14         61.64        111.67
             8.60          8.80         57.14         61.64        458.32
             8.80          9.00         57.14         61.64         69.87
             9.00          9.20         57.14         61.64          0.00
             9.20          9.40         57.14         61.64          0.00
             9.40          9.60         57.14         61.64          0.00
             9.60          9.80         57.14         61.64          0.00
             9.80         10.00         57.14         61.64          0.00
             2.00          2.20         61.64         66.93         21.43
             2.20          2.40         61.64         66.93        103.16
             2.40          2.60         61.64         66.93        337.19
             2.60          2.80         61.64         66.93        912.12
             2.80          3.00         61.64         66.93       2204.40
             3.00          3.20         61.64         66.93       4945.28
             3.20          3.40         61.64         66.93      10733.04
             3.40          3.60         61.64         66.93      20595.85
             3.60          3.80         61.64         66.93      38428.78
             3.80          4.00         61.64         66.93      67686.06
             4.00          4.20         61.64         66.93     114611.33
             4.20          4.40         61.64         66.93     171881.26
             4.40          4.60         61.64         66.93     238050.94
             4.60          4.80         61.64         66.93     333115.87
             4.80          5.00         61.64         66.93     395904.66
             5.00          5.20         61.64         66.93     477704.52
             5.20          5.40         61.64         66.93     470261.61
             5.40          5.60         61.64         66.93     398242.55
             5.60          5.80         61.64         66.93     383105.59
             5.80          6.00         61.64         66.93     307595.00
             6.00          6.20         61.64         66.93     228450.26
             6.20          6.40         61.64         66.93     131242.99
             6.40          6.60         61.64         66.93      71162.83
             6.60          6.80         61.64         66.93      45057.86
             6.80          7.00         61.64         66.93      25768.06
             7.00          7.20         61.64         66.93      13086.50
             7.20          7.40         61.64         66.93       5877.72
             7.40          7.60         61.64         66.93       2144.72
             7.60          7.80         61.64         66.93       1972.54
             7.80          8.00         61.64         66.93       1461.73
             8.00          8.20         61.64         66.93       4550.74
             8.20          8.40         61.64         66.93       1068.73
             8.40          8.60         61.64         66.93        112.78
             8.60          8.80         61.64         66.93         47.88
             8.80          9.00         61.64         66.93        202.91
             9.00          9.20         61.64         66.93          0.00
             9.20          9.40         61.64         66.93          0.00
             9.40          9.60         61.64         66.93          0.00
             9.60          9.80         61.64         66.93          0.00
             9.80         10.00         61.64         66.93          0.00
             2.00          2.20         66.93         73.74         21.30
             2.20          2.40         66.93         73.74        101.70
             2.40          2.60         66.93         73.74        335.18
             2.60          2.80         66.93         73.74        901.06
             2.80          3.00         66.93         73.74       2207.06
             3.00          3.20         66.93         73.74       4968.63
             3.20          3.40         66.93         73.74      10403.49
             3.40          3.60         66.93         73.74      20754.23
             3.60          3.80         66.93         73.74      38289.33
             3.80          4.00         66.93         73.74      65979.29
             4.00          4.20         66.93         73.74     107394.61
             4.20          4.40         66.93         73.74     158333.43
             4.40          4.60         66.93         73.74     226177.42
             4.60          4.80         66.93         73.74     279652.60
             4.80          5.00         66.93         73.74     338625.87
             5.00          5.20         66.93         73.74     388033.00
             5.20          5.40         66.93         73.74     394424.78
             5.40          5.60         66.93         73.74     335584.05
             5.60          5.80         66.93         73.74     291614.86
             5.80          6.00         66.93         73.74     199013.82
             6.00          6.20         66.93         73.74     140075.53
             6.20          6.40         66.93         73.74      82443.10
             6.40          6.60         66.93         73.74      43698.97
             6.60          6.80         66.93         73.74      25288.24
             6.80          7.00         66.93         73.74      13458.99
             7.00          7.20         66.93         73.74       5201.26
             7.20          7.40         66.93         73.74       3535.78
             7.40          7.60         66.93         73.74       2630.75
             7.60          7.80         66.93         73.74       3304.26
             7.80          8.00         66.93         73.74        390.93
             8.00          8.20         66.93         73.74        145.26
             8.20          8.40         66.93         73.74        129.11
             8.40          8.60         66.93         73.74         27.93
             8.60          8.80         66.93         73.74        351.13
             8.80          9.00         66.93         73.74         11.52
             9.00          9.20         66.93         73.74          0.00
             9.20          9.40         66.93         73.74          0.00
             9.40          9.60         66.93         73.74          0.00
             9.60          9.80         66.93         73.74          0.00
             9.80         10.00         66.93         73.74          0.00
             2.00          2.20         73.74         90.00         22.45
             2.20          2.40         73.74         90.00         95.47
             2.40          2.60         73.74         90.00        302.57
             2.60          2.80         73.74         90.00        820.66
             2.80          3.00         73.74         90.00       2006.02
             3.00          3.20         73.74         90.00       4577.38
             3.20          3.40         73.74         90.00       9913.27
             3.40          3.60         73.74         90.00      19350.91
             3.60          3.80         73.74         90.00      35640.60
             3.80          4.00         73.74         90.00      63004.73
             4.00          4.20         73.74         90.00      98364.10
             4.20          4.40         73.74         90.00     146376.21
             4.40          4.60         73.74         90.00     198137.50
             4.60          4.80         73.74         90.00     262503.13
             4.80          5.00         73.74         90.00     292405.95
             5.00          5.20         73.74         90.00     307063.61
             5.20          5.40         73.74         90.00     317375.98
             5.40          5.60         73.74         90.00     270904.35
             5.60          5.80         73.74         90.00     191998.31
             5.80          6.00         73.74         90.00     137192.70
             6.00          6.20         73.74         90.00      81033.33
             6.20          6.40         73.74         90.00      47168.35
             6.40          6.60         73.74         90.00      30825.37
             6.60          6.80         73.74         90.00      11337.29
             6.80          7.00         73.74         90.00       8397.46
             7.00          7.20         73.74         90.00       4684.49
             7.20          7.40         73.74         90.00       3161.58
             7.40          7.60         73.74         90.00       2588.40
             7.60          7.80         73.74         90.00        910.09
             7.80          8.00         73.74         90.00        359.23
             8.00          8.20         73.74         90.00        667.15
             8.20          8.40         73.74         90.00         43.08
             8.40          8.60         73.74         90.00         67.51
             8.60          8.80         73.74         90.00         63.75
             8.80          9.00         73.74         90.00         27.41
             9.00          9.20         73.74         90.00          0.00
             9.20          9.40         73.74         90.00          0.00
             9.40          9.60         73.74         90.00          0.00
             9.60          9.80         73.74         90.00          0.00
             9.80         10.00         73.74         90.00          0.00
