#  log10(E_nu/GeV)_min  log10(E_nu/GeV)_max  Dec_nu_min[deg]  Dec_nu_max[deg]   A_Eff[cm^2]
             8.00          8.20        -31.33        -28.69   16375629.03
             8.20          8.40        -31.33        -28.69   20271463.77
             8.40          8.60        -31.33        -28.69   22694432.66
             8.60          8.80        -31.33        -28.69   28713000.31
             8.80          9.00        -31.33        -28.69   35501453.23
             9.00          9.20        -31.33        -28.69          0.00
             9.20          9.40        -31.33        -28.69          0.00
             9.40          9.60        -31.33        -28.69          0.00
             9.60          9.80        -31.33        -28.69          0.00
             9.80         10.00        -31.33        -28.69          0.00
             2.00          2.20        -28.69        -26.10          0.00
             2.20          2.40        -28.69        -26.10          0.00
             2.40          2.60        -28.69        -26.10          0.00
             2.60          2.80        -28.69        -26.10          0.00
             2.80          3.00        -28.69        -26.10          0.00
             3.00          3.20        -28.69        -26.10          0.00
             3.20          3.40        -28.69        -26.10          0.00
             3.40          3.60        -28.69        -26.10          0.00
             3.60          3.80        -28.69        -26.10          0.00
             3.80          4.00        -28.69        -26.10          0.00
             4.00          4.20        -28.69        -26.10          0.00
             4.20          4.40        -28.69        -26.10         39.24
             4.40          4.60        -28.69        -26.10       1011.48
             4.60          4.80        -28.69        -26.10       6581.53
             4.80          5.00        -28.69        -26.10      22858.45
             5.00          5.20        -28.69        -26.10      70624.16
             5.20          5.40        -28.69        -26.10     176283.98
             5.40          5.60        -28.69        -26.10     373546.64
             5.60          5.80        -28.69        -26.10     693536.52
             5.80          6.00        -28.69        -26.10    1166716.58
             6.00          6.20        -28.69        -26.10    1743613.30
             6.20          6.40        -28.69        -26.10    2378053.74
             6.40          6.60        -28.69        -26.10    3199742.55
             6.60          6.80        -28.69        -26.10    4290733.53
             6.80          7.00        -28.69        -26.10    5313842.77
             7.00          7.20        -28.69        -26.10    6590079.98
             7.20          7.40        -28.69        -26.10    8406392.84
             7.40          7.60        -28.69        -26.10   10460849.64
             7.60          7.80        -28.69        -26.10   12451819.65
             7.80          8.00        -28.69        -26.10   15379778.43
             8.00          8.20        -28.69        -26.10   18608960.34
             8.20          8.40        -28.69        -26.10   21552324.74
             8.40          8.60        -28.69        -26.10   27581359.99
             8.60          8.80        -28.69        -26.10   29099908.28
             8.80          9.00        -28.69        -26.10   38154080.49
             9.00          9.20        -28.69        -26.10          0.00
             9.20          9.40        -28.69        -26.10          0.00
             9.40          9.60        -28.69        -26.10          0.00
             9.60          9.80        -28.69        -26.10          0.00
             9.80         10.00        -28.69        -26.10          0.00
             2.00          2.20        -26.10        -23.58          0.00
             2.20          2.40        -26.10        -23.58          0.00
             2.40          2.60        -26.10        -23.58          0.00
             2.60          2.80        -26.10        -23.58          0.00
             2.80          3.00        -26.10        -23.58          0.00
             3.00          3.20        -26.10        -23.58          0.00
             3.20          3.40        -26.10        -23.58          0.00
             3.40          3.60        -26.10        -23.58          0.00
             3.60          3.80        -26.10        -23.58          4.77
             3.80          4.00        -26.10        -23.58          2.60
             4.00          4.20        -26.10        -23.58          0.00
             4.20          4.40        -26.10        -23.58        157.80
             4.40          4.60        -26.10        -23.58       1516.59
             4.60          4.80        -26.10        -23.58       8912.74
